registrar,id,accredited,unverified_free_features,free_features,unverified_payment_methods,payment_methods,tlds,rating,,cheapest_registration,cheapest_renewal,cheapest_transfer,best_3_year_value
Porkbun,1861,TRUE,"DNS,Email Forwarding,SSL Certificate,WHOIS Privacy","DNS, SSL Certificate, WHOIS privacy, url forwarding, email forwarding, email account trial, hosting trial","Alipay,Apple Pay,Bitcoin,Credit Card,Google Pay,Paypal","Credit card, Alipay, Apple Pay, Google Pay, Paypal, Crypto (via Coinbase), Wire transfer",561                     :,4.8 out of 5 stars,,65                     :12%,91                     :16%,80                     :14%,143                     :25%
Spaceship,3862,TRUE,"DNS,Email Forwarding,WHOIS Privacy","DNS, WHOIS privacy","Alipay,Apple Pay,Bitcoin,Credit Card,Google Pay,Paypal","Credit card, Paypal, Google Pay, Apple Pay, Crypto (just bitcoin?)",459                     :,5 out of 5 stars,,301                     :66%,70                     :15%,193                     :42%,1                     :0%
alldomains.hosting,2806,TRUE,"DNS,1 Email Accounts,Email Forwarding,WHOIS Privacy, redacted per GDPR","DNS, WHOIS privacy, email forwarding, url forwarding, hosting, email","Bank Transfer,Bitcoin,Credit Card,Paypal","Credit card, Paypal, Wire transfer, Crypto (bitcoin, litecoin)",479                     :,4.8 out of 5 stars,,11                     :2%,0                     :0%,1                     :0%,18                     :4%
Namecheap,1068,TRUE,"DNS,1 Email Accounts, 60 days,Email Forwarding,WHOIS Privacy","DNS, WHOIS privacy, email forwarding, url forwarding","Bitcoin,Credit Card,Dwolla,Paypal","Credit card, Paypal, Crypto",547                     :,5 out of 5 stars,,10                     :2%,6                     :1%,1                     :0%,2                     :0%
Dynadot,1718,TRUE,"DNS,Email Forwarding,WHOIS Privacy","DNS, WHOIS privacy, domain forwarding, email forwarding","Bank Transfer,Credit Card,Check,Money Order,Paypal,Skrill","Credit card, Alipay, Apple Pay, skrill (moneybookers), wire transfer, money order, check, eCash, Payoneer, Crypto, iDEAL",708                     :,5 out of 5 stars,,33                     :5%,30                     :4%,0                     :0%,11                     :2%
NameSilo,1479,TRUE,"DNS,Email Forwarding,WHOIS Privacy","DNS, WHOIS privacy, email forwarding, url forwarding","Bitcoin,Credit Card,Google Pay,Paypal,Skrill","Credit card, Alipay, Apple Pay, Google pay, Paypal, Skrill, Venmo, Crypto",428                     :,4.1 out of 5 stars,,0                     :0%,2                     :0%,2                     :0%,1                     :0%
Netim,1519,TRUE,"DNS,1 Email Accounts,Email Forwarding,SSL Certificate,WHOIS Privacy","DNS, WHOIS privacy, 1 email account, ssl certificate, url forwarding, email forwarding","Bank Transfer,Credit Card,Check,Paypal","Credit card, Paypal, wire transfer, crypto, paysafecard",1221                     :,4.8 out of 5 stars,,24                     :2%,37                     :3%,134                     :11%,435                     :36%
Marcaria International,1086,TRUE,"DNS,3 Email Accounts,Email Forwarding","DNS,3 Email Accounts,Email Forwarding","Bank Transfer,Credit Card,Check,Paypal","Credit card, paypal, wire transfer",1142                     :,3.8 out of 5 stars,,34                     :3%,0                     :0%,0                     :0%,25                     :2%
ISTanCo,,FALSE,DNS,DNS,"Bank Transfer,Paypal,Skrill","Credit card, paypal, skrill, wire transfer",63                     :,4.3 out of 5 stars,,8                     :13%,8                     :13%,2                     :3%,0                     :0%
GoDaddy,146,TRUE,"DNS,WHOIS Privacy, redacted per GDPR","DNS, WHOIS Privacy","Alipay,Bank Transfer,Credit Card,Check,Money Order,Paypal,Skrill","Credit card, paypal, klarna*, wire transfer*, alipay*, mobikwik* all depends on country",545                     :,3.9 out of 5 stars,,15                     :3%,8                     :1%,7                     :1%,0                     :0%
GoDaddy Corporate Domains,3786,TRUE,"DNS,WHOIS Privacy, redacted per GDPR","DNS, WHOIS Privacy","Alipay,Bank Transfer,Credit Card,Check,Money Order,Paypal,Skrill","Credit card, paypal, klarna*, wire transfer*, alipay*, mobikwik* all depends on country",,,,,,,
GoDaddy Online Services Cayman Islands,1659,TRUE,"DNS,WHOIS Privacy, redacted per GDPR","DNS, WHOIS Privacy","Alipay,Bank Transfer,Credit Card,Check,Money Order,Paypal,Skrill","Credit card, paypal, klarna*, wire transfer*, alipay*, mobikwik* all depends on country",,,,,,,
Regery,,FALSE,"DNS,Email Forwarding,SSL Certificate, 90 days,WHOIS Privacy","DNS, WHOIS Privacy, SSL Certificate, Email forwarding, url forwarding","Alipay,Bank Transfer,Bitcoin,Credit Card,Paypal","Credit card, paypal, wire transfer, google pay, apple pay",2393                     :,3.3 out of 5 stars,,1278                     :53%,1238                     :52%,1259                     :53%,1095                     :46%
Cloudflare,1910,TRUE,"DNS,WHOIS Privacy, redacted per GDPR","DNS, WHOIS privacy","Credit Card,Paypal","Credit card, paypal",348                     :,3.5 out of 5 stars,,23                     :7%,216                     :62%,134                     :39%,1                     :0%
INWX,1420,TRUE,DNS,DNS,"Alipay,Apple Pay,Bank Transfer,Credit Card,Giropay,Google Pay,Paypal","Credit card, paypal, wire transfer, apple pay, google pay, link",2135                     :,4 out of 5 stars,,127                     :6%,148                     :7%,183                     :9%,72                     :3%
Njalla*,,FALSE,"DNS,Email Forwarding,WHOIS Privacy","DNS, WHOIS Privacy","Bitcoin,Paypal","Paypal, crypto",403                     :,4 out of 5 stars,,1                     :0%,1                     :0%,1                     :0%,0                     :0%
Cosmotown,1509,TRUE,"DNS,WHOIS Privacy","DNS, WHOIS Privacy","Credit Card,Paypal","Credit card, paypal",239                     :,2.8 out of 5 stars,,2                     :1%,13                     :5%,9                     :4%,0                     :0%
Internet.bs,,TRUE,"DNS,Email Forwarding,WHOIS Privacy","DNS, WHOIS Privacy","Alipay,Credit Card,Paypal,Skrill","Credit card, paypal, skrill, alipay, wire transfer",626                     :,2.8 out of 5 stars,,7                     :1%,2                     :0%,4                     :1%,1                     :0%
Name.com,625,TRUE,DNS,DNS,"Alipay,Credit Card,Paypal","Credit card, paypal, google pay, alipay",570                     :,3.4 out of 5 stars,,2                     :0%,2                     :0%,5                     :1%,0                     :0%
Infomaniak,3240,TRUE,"DNS,1 Email Accounts,Email Forwarding","DNS, 1 email account, SSL Certificate, WHOIS Privacy","Bank Transfer,Credit Card,Paypal","Credit card, paypal, wire transfer, twint",547                     :,3.4 out of 5 stars,,9                     :2%,4                     :1%,4                     :1%,10                     :2%
Directnic,,TRUE,DNS,DNS,"Credit Card,Paypal","Credit card, paypal, checks, wire transfer",525                     :,3.1 out of 5 stars,,1                     :0%,0                     :0%,0                     :0%,0                     :0%
Netcetera,,FALSE,"DNS,1 Email Accounts,Email Forwarding,SSL Certificate,WHOIS Privacy, redacted per GDPR","DNS, 1 Email Account, Email Forwarding, WHOIS Privacy","Bank Transfer,Bitcoin,Credit Card,Paypal","Credit card, paypal, wire transfer",731                     :,3 out of 5 stars,,8                     :1%,11                     :2%,7                     :1%,69                     :9%
Gandi.net,81,TRUE,"DNS,Email Forwarding,SSL Certificate, 1 year,WHOIS Privacy","DNS, SSL Certificate, Email forwarding, url forwarding, WHOIS Privacy","Bank Transfer,Bitcoin,Credit Card,Paypal","Credit card, paypal, wire transfer, crypto",839                     :,2.7 out of 5 stars,,29                     :3%,15                     :2%,36                     :4%,16                     :2%
iwantmyname,,FALSE,"DNS,WHOIS Privacy","DNS, WHOIS Privacy, url forwarding",Credit Card,Credit card,504                     :,5 out of 5 stars,,0                     :0%,0                     :0%,0                     :0%,0                     :0%
123 Reg,1515,TRUE,DNS,DNS,Credit Card,"Credit card, paypal",87                     :,5 out of 5 stars,,1                     :1%,0                     :0%,0                     :0%,0                     :0%
Hostinger,1636,TRUE,"DNS,WHOIS Privacy","DNS, WHOIS Privacy","Bitcoin,Credit Card,Paypal","Credit card, paypal, apple pay, google pay, ali pay, crypto",211                     :,5 out of 5 stars,,8                     :4%,12                     :6%,51                     :24%,2                     :1%
AEserver,,FALSE,"DNS, 1 year","DNS, WHOIS Privacy, Email forwarding, url forwarding","Credit Card,Paypal","Credit card, paypal, apple pay, google pay, wire transfer",819                     :,5 out of 5 stars,,22                     :3%,30                     :4%,18                     :2%,0                     :0%
Domgate,,FALSE,DNS,DNS,"Bank Transfer,Credit Card,Paypal",,1161                     :,5 out of 5 stars,,175                     :15%,199                     :17%,116                     :10%,17                     :1%
Hover,,TRUE,"DNS,WHOIS Privacy","DNS, WHOIS Privacy, url forwarding","Credit Card,Paypal","Credit card, Paypal, Apple Pay",502                     :,3.3 out of 5 stars,,2                     :0%,1                     :0%,1                     :0%,0                     :0%
Sav,609,TRUE,"DNS,WHOIS Privacy","DNS, SSL Certificate, Email Forwarding, url forwarding","Credit Card,Paypal","Credit card, paypal",527                     :,2.1 out of 5 stars,,147                     :28%,93                     :18%,65                     :12%,3                     :1%
OVHcloud,433,TRUE,"DNS,1 Email Accounts,Email Forwarding,SSL Certificate,WHOIS Privacy, redacted per GDPR","DNS, 1 email account","Bank Transfer,Credit Card,Check,Money Order,Paypal","Credit card, Paypal, Debit Card",895                     :,2.1 out of 5 stars,,98                     :11%,198                     :22%,46                     :5%,568                     :63%
Blacknight,,TRUE,DNS,DNS,"Credit Card,Check,Paypal","Credit card, wire transfer, paypal, cheque",601                     :,2.3 out of 5 stars,,8                     :1%,22                     :4%,8                     :1%,0                     :0%
Regtons,,TRUE,"DNS,WHOIS Privacy","DNS, WHOIS privacy","Bank Transfer,Credit Card","Credit card, wire transfer",1116                     :,2.6 out of 5 stars,,51                     :5%,77                     :7%,50                     :4%,6                     :1%
101domain,1011,TRUE,DNS,DNS,"Credit Card,Paypal","Credit card, paypal",1815                     :,2.1 out of 5 stars,,168                     :9%,161                     :9%,198                     :11%,147                     :8%
Alibaba Cloud Beijing,420,TRUE,"DNS,WHOIS Privacy, redacted per GDPR",DNS,"Credit Card,Paypal","Credit card, paypal, paytm",118                     :,2.3 out of 5 stars,,2                     :2%,6                     :5%,4                     :3%,0                     :0%
Alibaba Cloud HiChina,1599,TRUE,"DNS,WHOIS Privacy, redacted per GDPR",DNS,"Credit Card,Paypal","Credit card, paypal, paytm",118                     :,2.3 out of 5 stars,,2                     :2%,6                     :5%,4                     :3%,0                     :0%
DreamHost,431,TRUE,"DNS,WHOIS Privacy","DNS, WHOIS privacy",Credit Card,"Credit card, Paypal, checks, money order",391                     :,2.3 out of 5 stars,,0                     :0%,22                     :6%,8                     :2%,0                     :0%
MrDomain,,TRUE,"DNS,WHOIS Privacy","DNS, URL forwarding, WHOIS privacy","Credit Card,Paypal","Credit card, paypal, bizum, wire transfer",858                     :,2.3 out of 5 stars,,9                     :1%,9                     :1%,11                     :1%,1                     :0%
EuroDNS,1052,TRUE,"DNS,1 Email Accounts,Email Forwarding,SSL Certificate","DNS, SSL Certificate, 1 Email account, email forwarding, WHOIS Privacy","Credit Card,Paypal","Credit card, paypal, wire transfer",898                     :,2.5 out of 5 stars,,8                     :1%,5                     :1%,10                     :1%,60                     :7%
Hello.co,1924,TRUE,"DNS,50 Email Accounts, 1 year","DNS, SSL Certificate, WHOIS Privacy","Credit Card,Paypal",,323                     :,3 out of 5 stars,,0                     :0%,2                     :1%,1                     :0%,0                     :0%
OnlyDomains,,TRUE,"DNS,WHOIS Privacy","DNS, URL forwarding, Email account (30 days)","Apple Pay,Credit Card,Google Pay,Paypal","Credit card, paypal, apple pay, google pay",902                     :,1.9 out of 5 stars,,16                     :2%,11                     :1%,10                     :1%,6                     :1%
Crazy Domains,,TRUE,DNS,"DNS, URL forwarding, Email forwarding","Credit Card,Neteller,Paypal","Credit card, paypal, zippay, alipay, webmoney, neteller, dragonpay",485                     :,1.6 out of 5 stars,,4                     :1%,8                     :2%,9                     :2%,1                     :0%
Above.com,940,TRUE,"DNS,WHOIS Privacy","DNS, WHOIS privacy","Bank Transfer,Credit Card,Paypal","Credit card, paypal, wire transfer",338                     :,2 out of 5 stars,,0                     :0%,8                     :2%,3                     :1%,0                     :0%
Hexonet,,TRUE,"DNS,Email Forwarding","DNS, Email forwarding","Alipay,Bank Transfer,Credit Card,Paypal","Credit card, paypal, alipay, wire transfer",840                     :,1.6 out of 5 stars,,16                     :2%,15                     :2%,9                     :1%,5                     :1%
Domain.com,886,TRUE,"DNS,Email Forwarding","DNS, SSL Certificate, Email forwarding","Credit Card,Paypal","Credit card, paypal, checks",439                     :,1.3 out of 5 stars,,17                     :4%,5                     :1%,0                     :0%,0                     :0%
Whois.com,100,FALSE,"DNS,2 Email Accounts,Email Forwarding","DNS, URL forwarding, 2 email accounts (90 days)","Credit Card,Paypal",,550                     :,1.3 out of 5 stars,,16                     :3%,16                     :3%,6                     :1%,25                     :5%
Webnames.ca,456,TRUE,,"DNS, URL forwarding, email forwarding (one free)","Bank Transfer,Credit Card,Check,Money Order","Credit card, check, wire transfer",604                     :,1.3 out of 5 stars,,0                     :0%,0                     :0%,0                     :0%,0                     :0%
Instra,1376,TRUE,DNS,DNS ,"Bank Transfer,Credit Card,Paypal","Credit card, paypal, wire transfer",934                     :,1 out of 5 stars,,10                     :1%,13                     :1%,8                     :1%,7                     :1%
NearlyFreeSpeech,,FALSE,none,none,"Credit Card,Check,Money Order,Paypal","Credit card, paypal, wire transfer, check",63                     :,No reviews yet.,,0                     :0%,0                     :0%,0                     :0%,0                     :0%
BigRock,1495,TRUE,"DNS,2 Email Accounts,Email Forwarding","DNS, URL forwarding, 2 email accounts (90 day free trial)","Bank Transfer,Credit Card,Paypal","Credit card, paypal, wire transfer",435                     :,1 out of 5 stars,,4                     :1%,6                     :1%,5                     :1%,5                     :1%
Amazon Route 53,468,TRUE,"Email Forwarding,WHOIS Privacy",WHOIS Privacy,Credit Card,"Credit card, wire transfer",356                     :,1 out of 5 stars,,2                     :1%,21                     :6%,1                     :0%,0                     :0%
Dotology,637,TRUE,DNS,DNS,"Bitcoin,Credit Card,Paypal","Credit card, paypal, wire transfer",325                     :,1 out of 5 stars,,5                     :2%,17                     :5%,13                     :4%,0                     :0%
