registrar,id,accredited,unverified_free_features,free_features,unverified_payment_methods,payment_methods,tlds,rating,,cheapest_registration,cheapest_renewal,cheapest_transfer,best_3_year_value
Easyspace,79,TRUE,DNS,DNS,Credit Card,Credit card,528                     :,No reviews yet.,,2                     :0%,0                     :0%,25                     :5%,1                     :0%
CanSpace,,FALSE,DNS,"DNS, WHOIS privacy, URL forwarding",Credit Card,Credit card,432                     :,No reviews yet.,,0                     :0%,0                     :0%,2                     :0%,0                     :0%
Hostcab,,FALSE,DNS,none?,"Bank Transfer,Bitcoin,Credit Card,Payeer,Paypal,WebMoney,Yandex.Money","Credit card, paypal",34                     :,No reviews yet.,,0                     :0%,1                     :3%,0                     :0%,0                     :0%
Upflare,,FALSE,"DNS,WHOIS Privacy, redacted per GDPR",none?,"Bitcoin,Credit Card,Paypal","Credit card, paypal, apple pay",957                     :,No reviews yet.,,12                     :1%,19                     :2%,13                     :1%,8                     :1%
Truehost.com,,FALSE,"DNS,Email Forwarding,WHOIS Privacy","DNS, Email forwarding",Credit Card,"credit card, lipa na mpesa, paypal, wire transfer",526                     :,1 out of 5 stars,,13                     :2%,9                     :2%,9                     :2%,8                     :2%
,,,,,,,,,,,,,
Uniregistry:inactive,,TRUE,"DNS,WHOIS Privacy",,"Credit Card,Paypal,topcoin",,378                     :,4.8 out of 5 stars,,0                     :0%,0                     :0%,0                     :0%,0                     :0%
Epik:inactive,617,TRUE,"DNS,WHOIS Privacy","DNS, WHOIS Privacy","Alipay,Bank Transfer,Bitcoin,Credit Card,Paypal","Credit card, paypal, wire transfer, check",695                     :,3.5 out of 5 stars,,15                     :2%,11                     :2%,21                     :3%,8                     :1%
Google Domains:inactive,,TRUE,"DNS,Email Forwarding,WHOIS Privacy",,"Credit Card,Google Pay",,365                     :,3.9 out of 5 stars,,2                     :1%,9                     :2%,4                     :1%,2                     :1%
FranceDNS:inactive,,FALSE,"DNS,Email Forwarding,WHOIS Privacy",,"Bank Transfer,Credit Card,Paypal,Western Union",,92                     :,5 out of 5 stars,,14                     :15%,22                     :24%,16                     :17%,0                     :0%
AlpNames:inactive,1432,TRUE,"DNS,2 Email Accounts,Email Forwarding","DNS,2 Email Accounts,Email Forwarding","Alipay,Bitcoin,Credit Card,Paypal,Skrill,WebMoney,Worldpay","Alipay,Crypto,Credit Card,Paypal,Skrill,WebMoney,Worldpay",457                     :,2.9 out of 5 stars,,14                     :3%,49                     :11%,43                     :9%,41                     :9%
Openprovider,,TRUE,DNS,DNS,"Bank Transfer,Credit Card,Diners Club,Paypal","Credit card, wire transfer, paypal",1957                     :,3.3 out of 5 stars,,27                     :1%,19                     :1%,43                     :2%,11                     :1%
Rebel.com,600,TRUE,"DNS,1 Email Accounts, 90 days",DNS,"Credit Card,Paypal","Credit card, paypal",520                     :,5 out of 5 stars,,7                     :1%,2                     :0%,34                     :7%,0                     :0%
CIH:inactive,,FALSE,"DNS,WHOIS Privacy",,"Credit Card,Paypal",,477                     :,5 out of 5 stars,,15                     :3%,23                     :5%,11                     :2%,6                     :1%
Register.TO:inactive,,FALSE,"DNS,Email Forwarding",,"Bitcoin,Credit Card,Paypal",,1                     :,3 out of 5 stars,,1                     :100%,1                     :100%,1                     :100%,0                     :0%
domaindot.al,,FALSE,"DNS,Email Forwarding,WHOIS Privacy, 1 year",DNS,"Cash in Person,Credit Card,Paypal",Wire transfer,33                     :,3 out of 5 stars,,3                     :9%,3                     :9%,2                     :6%,4                     :12%
Espace 2001,,FALSE,DNS,DNS,"Bank Transfer,Carte Bleue,Check,Paypal","Paypal, wire transfer, Check",610                     :,2 out of 5 stars,,64                     :10%,133                     :22%,64                     :10%,4                     :1%
LCN:inactive,,TRUE,"DNS,1 Email Accounts,Email Forwarding,WHOIS Privacy, 1 year",,Credit Card,,320                     :,1.6 out of 5 stars,,0                     :0%,0                     :0%,4                     :1%,0                     :0%
Ionos:inactive,83,TRUE,"DNS,1 Email Accounts,Email Forwarding,WHOIS Privacy",,"Credit Card,Paypal",,420                     :,1.3 out of 5 stars,,11                     :3%,1                     :0%,24                     :6%,3                     :1%
United Domains:inactive,1408,TRUE,"DNS,Email Forwarding","DNS, Email forwarding, URL forwarding",Credit Card,Credit card,404                     :,No reviews yet.,,3                     :1%,3                     :1%,5                     :1%,0                     :0%
Netfirms:inactive,892,FALSE,"DNS,1 Email Accounts,Email Forwarding",,"Credit Card,Paypal",,280                     :,No reviews yet.,,1                     :0%,0                     :0%,0                     :0%,0                     :0%
Dotster:inactive,72,FALSE,"DNS,Email Forwarding",,"Credit Card,Paypal",,280                     :,No reviews yet.,,1                     :0%,0                     :0%,0                     :0%,0                     :0%
Network Solutions:inactive,2,TRUE,DNS,DNS,"Credit Card,Paypal","Credit card, paypal",446                     :,No reviews yet.,,5                     :1%,0                     :0%,0                     :0%,0                     :0%
Dyn:inactive,,TRUE,DNS,,"Credit Card,Check,Money Order",,19                     :,No reviews yet.,,0                     :0%,0                     :0%,0                     :0%,0                     :0%
HostGator,,TRUE,"DNS,Email Forwarding","DNS, Email forwarding","Bank Transfer,Cash in Mail,Credit Card,Check,Maestro,Money Order,Paypal","Credit card, paypal, checks",15                     :,No reviews yet.,,2                     :13%,0                     :0%,3                     :20%,0                     :0%
Domainmonster:inactive,,TRUE,"DNS,Email Forwarding,WHOIS Privacy",,"Credit Card,Paypal",,404                     :,No reviews yet.,,2                     :0%,4                     :1%,0                     :0%,2                     :0%
Minds + Machines:inactive,,TRUE,DNS,,Credit Card,,233                     :,No reviews yet.,,1                     :0%,2                     :1%,0                     :0%,0                     :0%
Web4Africa:inactive,,TRUE,DNS,,"Bitcoin,Credit Card,Paypal,Payza,Perfect Money,Skrill",,45                     :,No reviews yet.,,0                     :0%,0                     :0%,0                     :0%,0                     :0%
AmenWorld:inactive,,FALSE,"DNS,2 Email Accounts,Email Forwarding",,"Bank Transfer,Credit Card,Paypal,Skrill,WebMoney,Western Union",,198                     :,No reviews yet.,,0                     :0%,0                     :0%,3                     :2%,1                     :1%
Dotintra:inactive,,FALSE,DNS,,Credit Card,,16                     :,1 out of 5 stars,,1                     :6%,0                     :0%,0                     :0%,0                     :0%
Reg.ru:inactive,,TRUE,"DNS,WHOIS Privacy, 1 year",,"Bank Transfer,Credit Card,Paypal",,734                     :,No reviews yet.,,81                     :11%,0                     :0%,0                     :0%,2                     :0%
ICDSoft:inactive,,FALSE,"DNS,WHOIS Privacy, 1 year",,"Credit Card,Paypal",,18                     :,No reviews yet.,,2                     :11%,2                     :11%,2                     :11%,2                     :11%
Truehost.cloud:inactive,,FALSE,"DNS,Email Forwarding,WHOIS Privacy",,Credit Card,,532                     :,No reviews yet.,,22                     :4%,32                     :6%,17                     :3%,11                     :2%
Fasthosts:inactive,,FALSE,"DNS,WHOIS Privacy, redacted per GDPR",,"Credit Card,Paypal",,0                     :,No reviews yet.,,0                     :0%,0                     :0%,0                     :0%,0                     :0%
Bluehost:inactive,,TRUE,DNS,,"Credit Card,Neteller,Paypal",,0                     :,No reviews yet.,,0                     :0%,0                     :0%,0                     :0%,0                     :0%
22.cn:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
35 Technology:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Advanced Internet Technologies:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Akky:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Alpine Domains:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Aplus.net:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Atak Teknoloji:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Beget:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Bizcn:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
CDmon:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
CNDNS:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
DonWeb:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Dinahosting:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
DNS.com.cn:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
DomainCostClub:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Domainnameshop:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
DomainPeople:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Domains.co.za:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Domaintechnik:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
DonDominio:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
DotName:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
EasyDNS:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
eName:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
EraNet:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
EvoNames:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Fabulous:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Gabia:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
GatherNames:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
GKG Net:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
GZIDC:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
"Hongkong Domain Name Information Management Co., Ltd.:inactive",,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Hosting Ukraine:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Hosting.kr:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Hostinger UAB:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
IHS Telekom:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Imena.ua:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Inames:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
iNET:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Interdomain:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Isimtescil:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Japan Registry Services:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Joker.com:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Jumi:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Lexsynergy:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
LWS.fr:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Mat Bao:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Melbourne IT:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Moniker:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
MUTUnic:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
NameBay:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
NameBright:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
NameSecure:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Nameshield:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Namespro:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Net-Chinese:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
NetEarth One:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Webcentral:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Neubox:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Nhanhoa.com:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
No-IP:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Nominalia:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Omnis:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Onamae:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
One.com:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
OnlineNIC:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
OwnRegistrar:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
P.A. Viet Nam Company:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
PairNIC:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Pananames:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Papaki:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
PlanetHoster:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
PublicDomainRegistry:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Radix Registry:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Realtime Register:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Register.it:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
RegisterMatrix:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Resellercamp:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
RU Center:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Rumahweb:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Server Plan:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Subreg:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
Tierranet:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
TodayNic:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
World4You Internet Services:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
XinNet:inactive,,FALSE,,,,,:,No reviews yet.,,:0%,:0%,:0%,:0%
YesNIC,,FALSE,,"DNS, Whois Privacy, url forwarding",,,:,No reviews yet.,,:0%,:0%,:0%,:0%
ZZY.cn,,TRUE,,,,"Alipay, WeChat Pay, wire transfer",:,No reviews yet.,,:0%,:0%,:0%,:0%
,,,,,,,,,,,,,
,,,,,,,,,,,,,
NetEarth One Inc. d/b/a NetEarth,1005,,,"DNS, Email, URL Forwarding, Email forwarding",,,,,,,,,
CCI REG S.A.,1607,,,DNS,,,,,,,,,
Ourdomains Limited,1654,,,DNS,,"Wire transfer, paypal",,,,,,,
Total Web Solutions Limited,131,,,DNS,,"Credit card, paypal, wise",,,,,,,
"The Registry at Info Avenue, LLC d/b/a Spirit Communications",123,,,"DNS, URL forwarding",,,,,,,,,
MainReg Inc.,1917,,,DNS,,"Crypto, credit card, paypal, webmoney",,,,,,,
"HazelDomains, Inc.",1902,,,"DNS, WHOIS Privacy",,,,,,,,,
"Threadagent.com, Inc.",1902,,,"DNS, WHOIS Privacy",,,,,,,,,
Center of Ukrainian Internet Names (UKRNAMES),1436,,,"DNS, WHOIS Privacy, URL Forwarding, Email forwarding",,"Credit card, paypal, privat24, liqpay, whitepay",,,,,,,
BB-Online UK Limited,134,,,"DNS, URL forwarding, email forwarding, whois privacy",,,,,,,,,
Turkticaret.net Yazılım Hizmetleri Sanayi ve Ticaret A.Ş.,819,,,"dns, url forwarding, whois privacy",,,,,,,,,
Register.ca Inc.,1375,,,"dns, url forwarding, email forwarding",,,,,,,,,
Dotname Korea Corp.,1132,,,,,,,,,,,,
"Inames Co., Ltd.",444,,,,,,,,,,,,
"Wingu Networks, S.A. de C.V.",1424,,,,,,,,,,,,
Wix.com Ltd.,3817,,,"DNS, SSL, whois privacy",,"credit card, paypal",,,,,,,
Annulet LLC,607,,,,,,,,,,,,
"Arsys Internet, S.L. dba NICLINE.COM",379,,,,,,,,,,,,
http.net Internet GmbH,976,,,,,,,,,,,,
Mesh Digital Limited,1390,,,,,,,,,,,,
IONOS SE,83,,,"dns, email, whois privacy, email forwarding",,"credit card, PayPal, Google Pay, Apple Pay",,,,,,,
Hetzner Online GmbH,828,,,dns,,"credit card, wire transfer, paypal, SEPA",,,,,,,
"pair Networks, Inc. d/b/a pair Domains",99,,,"dns, whois privacy, email forwarding, url forwarding",,"credit card, paypal",,,,,,,
Cronon GmbH (defunct),141,,,,,,,,,,,,
DOMAIN NAME NETWORK PTY LTD (https://www.ename.com/),1527,,,"DNS, whois privacy",,"WeChat, alipay, wire transfer, credit card",,,,,,,
Nics Telekomunikasyon A.S.,1454,,,"dns, whois privacy, url forwarding, email forwarding",,"credit card, wire transfer",,,,,,,
Hostopia Canada Corp,52,,,,,,,,,,,,
"Guangzhou Yunxun Information Technology Co., Ltd. (https://www.dnspod.cn/)",1697,,,"DNS, URL Forwarding",,credit card,,,,,,,
